date,v2.9_final,risk_strategy,gold,defensive,benchmark
2021-04-12,1.1834895448932297,1.2741799728095606,1.0654867256637168,1.0158346886443232,128925.47813404925
2021-04-13,1.1810318786716654,1.2739872262794525,1.0545722713864307,1.0161539766321104,128714.36094576959
2021-04-14,1.1892212172068957,1.283938069542687,1.0663716814159292,1.0162038653802021,129782.29810257709
2021-04-15,1.1866793250292356,1.279694119357736,1.0654867256637168,1.0162637318779122,128957.47664148043
2021-04-16,1.196247293902267,1.2932338636331928,1.074631268436578,1.0162537541282939,129405.84660676413
2021-04-19,1.2037320450888425,1.3033852423712267,1.0825958702064895,1.0165830198656995,132554.52058392586
2021-04-20,1.199834804374756,1.3004741542874658,1.0722713864306783,1.0166329086137913,132459.3588989595
2021-04-21,1.204536086015693,1.3041586175250746,1.083480825958702,1.017281462338984,132860.12196434353
2021-04-22,1.20618359077016,1.3068873501621103,1.0843657817109145,1.017022040848907,132612.55045041547
2021-04-23,1.2060866022035683,1.3076046969365143,1.0820058997050148,1.0171517515939454,133816.6376083044
2021-04-26,1.2017083283175243,1.301839966180451,1.076401179941003,1.0174111730840227,132299.6790508013
2021-04-27,1.2046227533117442,1.3066008564890321,1.0775811209439528,1.0174710395817328,132645.79971383745
2021-04-28,1.2084717867315304,1.3160670058070347,1.0713864306784662,1.0174610618321145,133394.2208298297
2021-04-29,1.2120209598073561,1.3211717241467826,1.074631268436578,1.017481017331351,134564.9023797978
2021-04-30,1.2068899442005852,1.3138056060873275,1.0693215339233038,1.017989882561887,133504.8866775986
2021-05-06,1.2032358768407505,1.300984642518199,1.0843657817109145,1.0180597268092155,131879.8158991411
2021-05-07,1.2010176810257798,1.292018743123851,1.0964601769911504,1.0183690370473844,130184.23375170252
2021-05-10,1.206576922754092,1.3003913183845262,1.1002949852507373,1.0185785697893697,130089.61927248213
2021-05-11,1.202970662584394,1.294409686917425,1.09882005899705,1.0187781247817367,130887.96639844032
2021-05-12,1.2080004427444568,1.3025556495828619,1.1008849557522125,1.018927791026012,131447.88816365306
2021-05-13,1.2012509926293293,1.292094640161449,1.0964601769911504,1.0191073905191423,130104.0029663763
2021-05-14,1.2109679950297878,1.3069440985070169,1.1029498525073747,1.019157279267234,133168.7720624888
2021-05-17,1.219319347861062,1.3174831733439132,1.1141592920353982,1.0192869900122727,135107.3135611394
2021-05-18,1.2215305833414836,1.31845528039148,1.1215339233038348,1.0195264560031132,135175.47976263778
