variant,description,full_ann_return,full_ann_vol,full_max_drawdown,full_sharpe,full_calmar,full_ann_bench,full_excess,oos_2025_ann_return,oos_2025_ann_vol,oos_2025_max_drawdown,oos_2025_sharpe,oos_2025_calmar,oos_2025_ann_bench,oos_2025_excess,rolling_windows,rolling_ann_mean,rolling_excess_mean,rolling_mdd_mean,rolling_sharpe_mean,rolling_positive_excess_rate,family_score
sweep_tvol010_max090_min045_gs075,V2.7目标波动扫描：目标波动10%，风险仓45%-90%,0.07492388613133283,0.10611525283793587,-0.11095796928746093,0.47046852168913833,0.6752456503347325,0.004793629881378436,0.07013025624995439,0.231786156703238,0.10612850705828702,-0.07224011866843338,1.9484506324928192,3.2085517158005596,0.21334541399075846,0.01844074271247953,13,0.04421811420541856,0.07448401979508859,-0.030604137810793835,0.4592010258596019,0.6153846153846154,4
static_70risk_15gold_15cash,70%风险策略 + 15%黄金 + 15%现金,0.06922983519759085,0.09455661873236614,-0.08698870609952492,0.46776033016556307,0.7958485451937185,0.004793629881378436,0.06443620531621241,0.2387907608450548,0.0920242222155232,-0.05209942270317203,2.3232009540308973,4.583366733361447,0.21334541399075846,0.025445346854296336,13,0.04592340471479057,0.07618931030446058,-0.028019007401544154,0.5773561300886094,0.6153846153846154,4
sweep_static_r070_g015_c015,V2.7静态扫描：70%风险策略 + 15%黄金 + 15%现金,0.06922983519759085,0.09455661873236616,-0.08698870609952514,0.46776033016556295,0.7958485451937165,0.004793629881378436,0.06443620531621241,0.23879076084505413,0.0920242222155231,-0.05209942270317203,2.3232009540308924,4.5833667333614345,0.21334541399075846,0.02544534685429567,13,0.04592340471479095,0.07618931030446095,-0.028019007401544206,0.5773561300886237,0.6153846153846154,4
no_gold_sweep_tvol008_max080_min045_gs075,风险策略不含黄金；V2.7目标波动扫描：目标波动8%，风险仓45%-80%,0.07339161916109926,0.10349140017607228,-0.09927863584898933,0.46759072810658175,0.7392488679309991,0.004793629881378436,0.06859798927972083,0.2269117825116318,0.10498264244527271,-0.07318016620937173,1.9232872959631218,3.1007278920688295,0.21334541399075846,0.01356636852087334,13,0.04376816800307425,0.07403407359274428,-0.030894038915091366,0.4122069294728166,0.6153846153846154,4
sweep_tvol010_max090_min025_gs050,V2.7目标波动扫描：目标波动10%，风险仓25%-90%,0.07233755319804103,0.1015683113362781,-0.11077272519853565,0.46606616350362645,0.6530267542699878,0.004793629881378436,0.06754392331666259,0.2176051748039629,0.10227767700066591,-0.07322981283596641,1.8831594581749143,2.971538044094076,0.21334541399075846,0.0042597608132044495,13,0.03907933681504007,0.06934524240471009,-0.02905307663516889,0.38750595844142804,0.6153846153846154,4
sweep_tvol008_max080_min045_gs050,V2.7目标波动扫描：目标波动8%，风险仓45%-80%,0.06893834572454649,0.09461396640785527,-0.09889727441626772,0.46439598077032457,0.6970702289971982,0.004793629881378436,0.06414471584316805,0.2226763580135278,0.09664859235875983,-0.06271000399413273,2.0453102646311976,3.5508905091819454,0.21334541399075846,0.00933094402276935,13,0.04332444659028572,0.07359035217995574,-0.02789224829640262,0.483463580866299,0.6153846153846154,4
no_gold_sweep_tvol010_max090_min025_gs075,风险策略不含黄金；V2.7目标波动扫描：目标波动10%，风险仓25%-90%,0.07690615773177623,0.11200027076765402,-0.11095893764222009,0.46344671647675034,0.6931046688618735,0.004793629881378436,0.07211252785039779,0.19228202971396646,0.11104164192451961,-0.09151899647968753,1.506480152983294,2.1010067538999193,0.21334541399075846,-0.021063384276791997,13,0.03757241959534477,0.06783832518501479,-0.03339577576952073,0.26096488404279644,0.6153846153846154,4
target_vol10_gold_cash,目标波动10%，防守仓黄金现金各半,0.07210947661413747,0.10204790186487935,-0.11077272519853565,0.46164081527628736,0.6509677945080539,0.004793629881378436,0.06731584673275903,0.2176051748039629,0.10227767700066584,-0.07322981283596686,1.8831594581749156,2.971538044094058,0.21334541399075846,0.0042597608132044495,13,0.038625252819396265,0.06889115840906629,-0.02941339439728532,0.37726858682239084,0.6153846153846154,4
sweep_tvol010_max090_min035_gs050,V2.7目标波动扫描：目标波动10%，风险仓35%-90%,0.07210947661413747,0.10204790186487935,-0.11077272519853565,0.46164081527628736,0.6509677945080539,0.004793629881378436,0.06731584673275903,0.2176051748039629,0.10227767700066584,-0.07322981283596686,1.8831594581749156,2.971538044094058,0.21334541399075846,0.0042597608132044495,13,0.038625252819396265,0.06889115840906629,-0.02941339439728532,0.37726858682239084,0.6153846153846154,4
no_gold_sweep_static_r080_g015_c005,风险策略不含黄金；V2.7静态扫描：80%风险策略 + 15%黄金 + 5%现金,0.07741156433607133,0.1136587262745496,-0.09927863584898933,0.4611310196233238,0.7797404111577485,0.004793629881378436,0.07261793445469289,0.23059174435153906,0.10520797223828035,-0.07885163266831119,1.9541460592539932,2.924375013533601,0.21334541399075846,0.017246330360780604,13,0.03637149259949635,0.06663739818916638,-0.03510038992905606,0.34133257409795725,0.6153846153846154,4
