date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2025-05-22,138.394,138.367,138.435,138.352,6494,91609588.0,0.06,0.0,-0.001,1.86
2025-05-23,138.389,138.473,138.482,138.349,7615,107431278.0,0.1,0.08,0.106,2.18
2025-05-26,138.474,138.47,138.539,138.436,52579,742069945.0,0.07,0.0,-0.003,15.03
2025-05-27,138.477,138.418,138.51,138.405,66876,943822379.0,0.08,-0.04,-0.052,19.11
2025-05-28,138.437,138.425,138.437,138.372,32829,463154890.0,0.05,0.01,0.007,9.38
2025-05-29,138.408,138.267,138.418,138.254,12326,173763878.0,0.12,-0.11,-0.158,3.52
2025-05-30,138.367,138.4,138.436,138.337,23656,333760140.0,0.07,0.1,0.133,6.76
2025-06-03,138.453,138.393,138.454,138.359,158852,2241350095.0,0.07,-0.01,-0.007,45.4
2025-06-04,138.408,138.483,138.485,138.399,234587,3309652314.0,0.06,0.07,0.09,67.05
2025-06-05,138.482,138.55,138.584,138.44,113705,1605657541.0,0.1,0.05,0.067,32.5
2025-06-06,138.614,138.665,138.669,138.608,152139,2150296184.0,0.04,0.08,0.115,43.49
2025-06-09,138.681,138.714,138.716,138.674,121585,1718978403.0,0.03,0.04,0.049,34.75
2025-06-10,138.739,138.73,138.75,138.685,221953,3138435082.0,0.05,0.01,0.016,63.44
2025-06-11,138.748,138.723,138.774,138.674,141283,1997668355.0,0.07,-0.01,-0.007,40.38
2025-06-12,138.722,138.693,138.742,138.675,103178,1458824820.0,0.05,-0.02,-0.03,29.49
2025-06-13,138.693,138.722,138.725,138.684,192043,2715223508.0,0.03,0.02,0.029,54.89
2025-06-16,138.73,138.753,138.789,138.725,137211,1940597436.0,0.05,0.02,0.031,39.22
2025-06-17,138.737,138.907,138.919,138.737,131917,1867025044.0,0.13,0.11,0.154,37.71
2025-06-18,138.924,138.923,138.935,138.89,14264,201963862.0,0.03,0.01,0.016,4.08
2025-06-19,138.926,138.929,138.958,138.917,11456,162234983.0,0.03,0.0,0.006,3.27
2025-06-20,138.937,138.954,138.964,138.905,5534,78370916.0,0.04,0.02,0.025,1.58
2025-06-23,138.952,138.925,138.999,138.897,10042,142186288.0,0.07,-0.02,-0.029,2.87
2025-06-24,138.925,138.872,138.954,138.852,280304,3967299893.0,0.07,-0.04,-0.053,80.12
2025-06-25,138.872,138.836,138.914,138.835,196281,2778588414.0,0.06,-0.03,-0.036,56.1
2025-06-26,138.836,138.874,138.934,138.835,271713,3845598972.0,0.07,0.03,0.038,77.66
2025-06-27,138.874,138.969,138.999,138.874,197700,2800057202.0,0.09,0.07,0.095,56.51
2025-06-30,138.972,138.905,138.985,138.8,78009,1104500634.0,0.13,-0.05,-0.064,22.3
2025-07-01,138.918,138.955,138.966,138.913,130705,1851012477.0,0.04,0.04,0.05,37.36
2025-07-02,138.956,139.035,139.042,138.956,221222,3134424889.0,0.06,0.06,0.08,63.23
2025-07-03,139.054,139.053,139.082,139.017,190406,2698971004.0,0.05,0.01,0.018,54.42
2025-07-04,139.068,139.086,139.093,139.06,191611,2716145342.0,0.02,0.02,0.033,54.77
2025-07-07,139.089,139.065,139.109,139.042,94947,1345666324.0,0.05,-0.02,-0.021,27.14
2025-07-08,139.057,138.955,139.057,138.943,103800,1470175661.0,0.08,-0.08,-0.11,29.67
2025-07-09,138.964,138.953,138.982,138.941,204550,2896966771.0,0.03,0.0,-0.002,58.47
2025-07-10,138.959,138.861,138.959,138.859,241126,3413609029.0,0.07,-0.07,-0.092,68.92
2025-07-11,138.857,138.823,138.859,138.764,28346,401020180.0,0.07,-0.03,-0.038,8.1
2025-07-14,138.824,138.751,138.824,138.721,14642,207082394.0,0.07,-0.05,-0.072,4.19
2025-07-15,138.774,138.891,138.895,138.774,217189,3073925072.0,0.09,0.1,0.14,62.08
2025-07-16,138.896,138.9,138.94,138.88,137680,1949148478.0,0.04,0.01,0.009,39.35
2025-07-17,138.876,138.892,138.894,138.842,10799,152867821.0,0.04,-0.01,-0.008,3.09
2025-07-18,138.892,138.88,138.903,138.832,11338,160478386.0,0.05,-0.01,-0.012,3.24
2025-07-21,138.88,138.793,138.904,138.775,69880,988643031.0,0.09,-0.06,-0.087,19.97
2025-07-22,138.797,138.719,139.354,138.71,96063,1359760771.0,0.46,-0.05,-0.074,27.46
2025-07-23,138.659,138.665,138.715,138.515,41098,580452933.0,0.14,-0.04,-0.054,11.75
2025-07-24,138.626,138.398,138.648,138.395,113994,1608854283.0,0.18,-0.19,-0.267,32.58
2025-07-25,138.404,138.429,138.524,138.379,62686,884715833.0,0.1,0.02,0.031,17.92
2025-07-28,138.525,138.562,138.639,138.464,145640,2056132830.0,0.13,0.1,0.133,41.63
2025-07-29,138.577,138.388,138.577,138.378,73632,1039197397.0,0.14,-0.13,-0.174,21.05
2025-07-30,138.402,138.527,138.538,138.337,116716,1647708359.0,0.15,0.1,0.139,33.36
2025-07-31,138.53,138.637,138.653,138.503,119712,1691440828.0,0.11,0.08,0.11,34.22
2025-08-01,138.618,138.645,138.686,138.519,162478,2295315358.0,0.12,0.01,0.008,46.44
2025-08-04,138.676,138.617,139.324,138.609,235391,3328242167.0,0.52,-0.02,-0.028,67.28
2025-08-05,138.577,138.661,138.668,138.536,84474,1193442724.0,0.1,0.03,0.044,24.14
2025-08-06,138.654,138.675,138.707,138.563,117942,1666621556.0,0.1,0.01,0.014,33.71
2025-08-07,138.714,138.775,138.821,138.7,95938,1357236056.0,0.09,0.07,0.1,27.42
2025-08-08,138.974,138.832,139.058,138.758,133447,1888073147.0,0.22,0.04,0.057,38.14
2025-08-11,138.833,138.665,138.833,138.641,124355,1758131820.0,0.14,-0.12,-0.167,35.54
2025-08-12,138.672,138.637,138.69,138.585,12510,176761130.0,0.08,-0.02,-0.028,3.58
2025-08-13,138.624,138.735,138.779,138.569,93018,1314980260.0,0.15,0.07,0.098,26.59
2025-08-14,138.734,138.682,138.734,138.588,81088,1146241959.0,0.11,-0.04,-0.053,23.18
2025-08-15,138.704,138.669,138.724,138.639,11732,165836762.0,0.06,-0.01,-0.013,3.35
2025-08-18,138.694,138.371,138.766,138.327,65279,921224911.0,0.32,-0.21,-0.298,18.66
2025-08-19,138.394,138.382,138.403,138.341,28820,406516273.0,0.04,0.01,0.011,8.24
2025-08-20,138.446,138.32,138.498,138.294,15865,223840318.0,0.15,-0.04,-0.062,4.53
2025-08-21,138.324,138.382,138.4,138.252,11547,162810692.0,0.11,0.04,0.062,3.3
2025-08-22,138.424,138.345,138.442,138.274,106106,1496865833.0,0.12,-0.03,-0.037,30.33
2025-08-25,138.348,138.464,138.476,138.275,67599,953617259.0,0.15,0.09,0.119,19.32
2025-08-26,138.464,138.47,138.489,138.43,21903,309141375.0,0.04,0.0,0.006,6.26
2025-08-27,138.481,138.508,138.522,138.437,120517,1701443898.0,0.06,0.03,0.038,34.45
2025-08-28,138.522,138.44,138.522,138.431,97128,1371129482.0,0.07,-0.05,-0.068,27.76
2025-08-29,138.436,138.472,138.484,138.394,150720,2126926762.0,0.07,0.02,0.032,43.08
2025-09-01,138.464,138.583,138.584,138.427,17948,253403686.0,0.11,0.08,0.111,5.13
2025-09-02,138.59,138.581,138.641,138.559,206377,2915444474.0,0.06,0.0,-0.002,58.99
2025-09-03,138.622,138.726,138.743,138.585,106698,1508283479.0,0.11,0.1,0.145,30.5
2025-09-04,138.759,138.812,138.846,138.759,70465,997096842.0,0.06,0.06,0.086,20.14
2025-09-05,138.803,138.603,138.803,138.572,170921,2416047163.0,0.17,-0.15,-0.209,48.85
2025-09-08,138.614,138.575,138.614,138.524,152067,2148137329.0,0.06,-0.02,-0.028,43.46
2025-09-09,138.574,138.555,138.684,138.536,189836,2681317680.0,0.11,-0.01,-0.02,54.26
2025-09-10,138.574,138.479,138.576,138.454,205134,2896339774.0,0.09,-0.05,-0.076,58.63
2025-09-11,138.507,138.58,138.634,138.458,87079,1229280891.0,0.13,0.07,0.101,24.89
2025-09-12,138.582,138.625,138.659,138.58,179192,2531881924.0,0.06,0.03,0.045,51.22
2025-09-15,138.688,138.714,138.768,138.634,125685,1777011590.0,0.1,0.06,0.089,35.92
2025-09-16,139.124,138.799,139.128,138.49,142363,2012786765.0,0.46,0.06,0.085,40.69
2025-09-17,138.829,138.956,138.963,138.764,74286,1051596980.0,0.14,0.11,0.157,21.23
2025-09-18,138.933,138.864,138.934,138.852,14795,209446427.0,0.06,-0.07,-0.092,4.23
2025-09-19,138.864,138.709,138.898,138.654,22424,317255213.0,0.18,-0.11,-0.155,6.41
2025-09-22,138.724,138.821,139.034,138.703,46207,653769526.0,0.24,0.08,0.112,13.21
2025-09-23,138.874,138.696,138.874,138.575,20503,286766979.0,0.22,-0.09,-0.125,5.86
2025-09-24,138.747,138.578,138.747,138.562,17124,239540100.0,0.13,-0.09,-0.118,4.89
2025-09-25,138.516,138.526,138.567,138.391,10940,152811779.0,0.13,-0.04,-0.052,3.13
2025-09-26,138.554,138.63,138.677,138.534,13670,191160931.0,0.1,0.08,0.104,3.91
2025-09-29,138.684,138.595,138.712,138.578,8548,119550758.0,0.1,-0.03,-0.035,2.44
2025-09-30,138.604,138.802,138.814,138.595,9344,130786484.0,0.16,0.15,0.207,2.67
2025-10-09,138.814,138.897,138.918,138.723,207224,2903212974.0,0.14,0.07,0.095,59.23
2025-10-10,138.908,138.867,138.969,138.858,9361,131187618.0,0.08,-0.02,-0.03,2.68
2025-10-13,138.893,138.908,138.939,138.864,145693,2041830215.0,0.05,0.03,0.041,41.64
2025-10-14,138.884,138.955,138.984,138.784,275776,3864121551.0,0.14,0.03,0.047,78.82
2025-10-15,138.954,138.914,138.954,138.882,139224,1951086403.0,0.05,-0.03,-0.041,39.79
